zone,type,variable,value
SE02,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE02,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE03,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SE03,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE03,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE04,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SE04,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE04,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SI00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SI00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SI00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SK00,Pump Storage - Closed Loop,Total pumping capacity (MW),-649.86
SK00,Pump Storage - Closed Loop,Total turbining capacity (MW),649.86
SK00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),4.1
TR00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
TR00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
TR00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
UK00,Pump Storage - Closed Loop,Total pumping capacity (MW),-2744
UK00,Pump Storage - Closed Loop,Total turbining capacity (MW),2744
UK00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),26.7
